Financial institution;Code;TCB;SR;TD;TC;Headquarters - City;Headquarters - State;Date;Total Assets;Loan, Lease and Other Credit Operations by Risk Level;Short and Long Term Liabilities and Deferred Income;Funding;Stockholders’ Equity;Net Income;Total Regulatory Capital;Total Capital Ratio;Fixed Assets Ratio;Branches;Banking Service Outposts;
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;09/2017;441,177,565;198,661,419;415,112,132;346,013,676;26,065,434;908,075;40,767,799;19.15%;16.50%;4.888;1.301
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;09/2017;408,386,293;147,676,150;365,174,921;275,305,332;43,211,372;1,712,255;44,224,219;19.47%;23.47%;3.371;924
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;09/2017;401,191,010;224,768,117;391,623,762;337,884,792;9,567,248;684,486;26,747,671;15.24%;11.58%;3.415;814
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;09/2017;321,625,652;116,258,994;286,802,841;230,066,659;34,822,811;910,472;33,674,841;17.65%;38.91%;5.018;1.457
BNDES - PRUDENCIAL;1000081847;b4;S2;I;1;RIO DE JANEIRO;RJ;09/2017;274,171,757;104,501,533;255,366,553;150,342,642;18,805,204;586,322;44,388,471;25.90%;9.27%;4;0
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;09/2017;213,527,555;82,992,849;193,053,187;147,447,469;20,474,368;603,088;20,337,035;16.15%;15.58%;2.667;1.173
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;09/2017;46,704,268;17,027,683;43,551,242;37,853,449;3,153,026;154,228;4,110,199;15.32%;31.30%;111;5
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;09/2017;35,691,956;4,191,062;29,833,155;15,153,039;5,858,801;229,356;6,004,598;17.25%;25.44%;11;0
VOTORANTIM - PRUDENCIAL;1000080484;b1;S2;C;2;SAO PAULO;SP;09/2017;31,248,644;14,835,607;28,551,632;20,688,476;2,697,012;47,913;2,780,218;14.63%;18.79%;90;0
CITIBANK - PRUDENCIAL;1000080192;b1;S2;C;3;SAO PAULO;SP;09/2017;23,669,903;5,446,024;20,912,123;13,663,343;2,757,779;1,403;2,690,577;16.88%;4.12%;134;21
BANRISUL - PRUDENCIAL;1000080154;b1;S2;C;1;PORTO ALEGRE;RS;09/2017;22,530,531;9,624,999;20,405,878;17,467,168;2,124,653;69,588;1,995,127;16.54%;8.89%;535;155
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;S2;I;1;FORTALEZA;CE;09/2017;16,435,467;3,386,868;15,334,713;5,140,784;1,100,753;53,112;1,966,323;15.78%;2.98%;318;2
BANCOOB - PRUDENCIAL;1000080879;b1;S3;C;2;BRASILIA;DF;09/2017;14,005,567;1,711,890;13,535,584;11,918,002;469,983;13,045;467,305;16.30%;9.93%;5;0
CREDIT SUISSE - PRUDENCIAL;1000080219;b1;S2;C;3;SAO PAULO;SP;09/2017;13,873,746;1,564,216;12,650,061;7,810,733;1,223,685;36,015;1,608,946;17.87%;2.68%;6;0
BNP PARIBAS - PRUDENCIAL;1000080673;b1;S3;C;3;SAO PAULO;SP;09/2017;12,250,699;4,129,951;11,177,927;4,972,630;1,072,773;42,276;1,257,070;16.16%;1.65%;5;0
SICREDI - PRUDENCIAL;1000080745;b1;S3;C;2;PORTO ALEGRE;RS;09/2017;12,130,072;2,538,635;11,726,441;11,164,729;403,631;5,884;452,683;24.20%;8.28%;5;0
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;S3;C;3;SAO PAULO;SP;09/2017;12,059,087;378,993;10,542,614;6,568,679;1,516,473;25,482;1,515,313;24.15%;2.37%;8;1
PAN;1000080257;b1;S3;C;2;SAO PAULO;SP;09/2017;8,601,506;5,848,409;7,489,633;6,001,061;1,111,873;35,123;755,474;12.20%;19.76%;3;0
ABC-BRASIL - PRUDENCIAL;1000080312;b1;S3;C;3;SAO PAULO;SP;09/2017;8,519,353;3,671,023;7,500,276;6,632,457;1,019,077;32,870;1,146,297;17.05%;0.92%;6;0
BCO DAYCOVAL S.A - PRUDENCIAL;1000081744;b1;S3;C;2;SAO PAULO;SP;09/2017;7,517,049;4,201,658;6,594,403;5,489,712;922,647;45,339;921,358;15.85%;29.09%;39;0
ING - PRUDENCIAL;1000080501;b1;S3;C;3;SAO PAULO;SP;09/2017;7,363,993;696,528;7,109,854;1,414,759;254,140;203;254,138;20.46%;0.22%;2;0
SOCIETE GENERALE - PRUDENCIAL;1000080264;b1;S3;C;3;SAO PAULO;SP;09/2017;7,342,322;626,061;6,933,995;2,966,120;408,327;3,473;408,277;25.74%;0.26%;4;0
BANESTES - PRUDENCIAL;1000080147;b1;S3;C;1;VITORIA;ES;09/2017;6,972,069;1,221,023;6,534,807;6,297,692;437,262;12,449;424,495;15.20%;20.29%;131;25
BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;1000081555;b1;S3;I;3;SAO PAULO;SP;09/2017;6,942,220;4,953,581;6,195,916;5,234,497;746,304;22,086;888,839;14.65%;0.57%;17;0
BCO TOKYO-MITSUBISHI BM S.A. - PRUDENCIAL;1000081713;b1;S3;I;3;SAO PAULO;SP;09/2017;6,598,645;316,220;6,145,498;2,599,859;453,147;6,921;447,202;31.53%;3.04%;2;0
BOFA MERRILL LYNCH - PRUDENCIAL;1000080556;b1;S3;C;3;SAO PAULO;SP;09/2017;6,448,060;346,351;5,717,303;3,724,583;730,757;17,987;730,757;20.06%;1.87%;2;0
CREDIT AGRICOLE - PRUDENCIAL;1000080491;b1;S3;C;3;SAO PAULO;SP;09/2017;6,253,647;554,524;5,977,233;1,262,332;276,414;2,672;263,559;13.25%;2.62%;3;0
CCB - PRUDENCIAL;1000080295;b1;S3;C;3;SAO PAULO;SP;09/2017;5,805,084;2,246,103;5,566,667;4,478,723;238,417;4,734;328,017;14.62%;7.07%;36;0
BD REGIONAL DO EXTREMO SUL - PRUDENCIAL;1000081311;b4;S3;I;1;PORTO ALEGRE;RS;09/2017;5,313,924;4,402,959;4,517,682;4,314,467;796,242;12,193;737,646;15.11%;0.97%;3;0
BMG - PRUDENCIAL;1000080178;b1;S3;C;2;SAO PAULO;SP;09/2017;5,141,162;2,648,607;4,305,749;2,990,442;835,413;1,722;522,761;17.61%;18.35%;32;0
BCO DA AMAZONIA S.A. - PRUDENCIAL;1000081249;b1;S3;I;1;BELEM;PA;09/2017;5,111,793;1,015,518;4,491,586;1,468,830;620,207;-1,932;833,352;15.47%;9.44%;119;1
VOLKSWAGEN - PRUDENCIAL;1000080202;b2;S3;C;3;SAO PAULO;SP;09/2017;4,782,212;4,100,419;3,847,182;2,711,927;935,030;31,868;1,232,602;29.13%;0.32%;1;0
GOLDMAN SACHS - PRUDENCIAL;1000080714;b2;S3;C;3;SAO PAULO;SP;09/2017;4,579,595;0;4,114,074;1,462,385;465,521;4,976;465,521;19.61%;1.77%;3;0
MORGAN STANLEY - PRUDENCIAL;1000080628;b1;S3;C;3;SAO PAULO;SP;09/2017;4,467,392;343,317;3,526,499;1,835,569;940,893;18,158;844,683;29.23%;0.57%;2;0
BRB - PRUDENCIAL;1000080288;b1;S3;C;1;BRASILIA;DF;09/2017;4,436,963;2,767,782;3,995,535;3,246,782;441,428;23,552;439,379;15.48%;13.46%;124;4
